Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2006,Incremento20052006,Floresta2006,Nuvem2006,NaoObservado2006,NaoFloresta2006,Hidrografia2006,Soma 
 175,-0.70803,-47.35142,S 0 42 28.91,O 47 21 5.11,Salinópolis,1506203,PA,219,23.0,0.0,75.7,73.0,15.9,10.5,20.9,99
 176,-4.19980,-55.32309,S 4 11 59.28,O 55 19 23.12,Rurópolis,1506195,PA,7025,1577.3,28.7,4648.2,751.7,0.0,0.0,47.8,100
 177,-14.86180,-56.25158,S 14 51 42.48,O 56 15 5.69,Rosário Oeste,5107701,MT,7493,64.8,0.0,24.2,0.0,0.0,7395.0,9.0,99
 178,-2.95700,-44.20370,S 2 57 25.20,O 44 12 13.32,Rosário,2109601,MA,695,72.7,1.0,523.5,4.4,0.0,0.0,94.4,99
 179,-0.21598,-61.06008,S 0 12 57.53,O 61 3 36.29,Rorainópolis,1400472,RR,33847,1002.8,8.8,23870.9,753.6,6.0,7642.4,571.3,100
 180,-16.57097,-54.71462,S 16 34 15.49,O 54 42 52.63,Rondonópolis,5107602,MT,4168,824.8,0.1,271.8,0.0,0.1,3065.7,5.6,99
 181,-4.48141,-48.46332,S 4 28 53.08,O 48 27 47.95,Rondon do Pará,1506187,PA,8286,5191.3,42.4,3059.0,35.7,0.0,0.0,0.0,100
 182,-10.31416,-61.08724,S 10 18 50.98,O 61 5 14.06,Rondolândia,5107578,MT,12743,1821.6,4.2,10843.6,0.0,1.2,52.2,24.4,99
 183,-11.74031,-61.75168,S 11 44 25.12,O 61 45 6.05,Rolim de Moura,1100288,RO,1471,1314.0,1.9,157.0,0.0,0.0,0.0,0.0,100
 184,-7.85728,-73.21253,S 7 51 26.21,O 73 12 45.11,Rodrigues Alves,1200427,AC,3246,453.7,2.2,2738.2,1.4,52.0,0.7,0.0,100
 185,-9.64454,-47.48905,S 9 38 40.34,O 47 29 20.58,Rio Sono,1718758,TO,6394,0.0,0.0,0,0.0,1928.6,6392.1,0.0,130
 186,-2.50853,-59.60122,S 2 30 30.71,O 59 36 4.39,Rio Preto da Eva,1303569,AM,5838,549.0,0.7,5275.9,1.7,1.1,0.0,10.3,100
 187,-7.36998,-50.10481,S 7 22 11.93,O 50 6 17.32,Rio Maria,1506161,PA,4122,3323.3,19.3,660.3,2.3,0.0,128.6,7.5,100
 188,-9.23883,-48.44890,S 9 14 19.79,O 48 26 56.04,Rio dos Bois,1718709,TO,848,17.8,0.0,0.2,0.0,0.0,828.1,1.9,99
 189,-11.30829,-46.75129,S 11 18 29.84,O 46 45 4.64,Rio da Conceição,1718659,TO,793,0.0,0.0,0,0.0,777.6,785.9,0.0,197
 190,-9.68593,-62.83526,S 9 41 9.35,O 62 50 6.94,Rio Crespo,1100262,RO,1741,1031.0,10.2,686.7,0.0,0.0,23.3,0.0,100
 191,-9.99527,-68.15925,S 9 59 42.97,O 68 9 33.30,Rio Branco,1200401,AC,9113,2438.8,33.6,6659.7,14.3,0.1,0.0,0.1,100
 192,-15.28141,-58.15176,S 15 16 53.08,O 58 9 6.34,Rio Branco,5107206,MT,529,445.9,0.0,10.4,0.0,0.5,72.2,0.0,100
 193,-16.45789,-52.72888,S 16 27 28.40,O 52 43 43.97,Ribeirãozinho,5107198,MT,623,0.0,0.0,0,0.0,22.0,618.7,0.0,102
 194,-12.88015,-51.58000,S 12 52 48.54,O 51 34 48.00,Ribeirão Cascalheira,5107180,MT,11364,1588.7,22.6,1820.3,0.0,0.2,7938.9,15.9,100
 195,-5.96305,-47.31957,S 5 57 46.98,O 47 19 10.45,Ribamar Fiquene,2109551,MA,755,432.0,0.5,62.8,0.0,0.0,244.7,15.5,99
 196,-6.47515,-48.08881,S 6 28 30.54,O 48 5 19.72,Riachinho,1718550,TO,520,440.2,0.5,60.5,0.0,0.5,18.8,0.0,100
 197,-7.74682,-46.62671,S 7 44 48.55,O 46 37 36.16,Riachão,2109502,MA,6422,0.0,0.0,0,0.0,4449.1,6422.7,0.0,169
 198,-14.93381,-58.50079,S 14 56 1.72,O 58 30 2.84,Reserva do Cabaçal,5107156,MT,1342,302.2,18.6,329.9,0.0,0.0,709.9,0.0,100
 199,-8.05636,-50.21305,S 8 3 22.90,O 50 12 46.98,Redenção,1506138,PA,3830,2638.2,1.3,471.0,15.7,0.1,705.0,0.0,99
 200,-8.69697,-47.11093,S 8 41 49.09,O 47 6 39.35,Recursolândia,1718501,TO,2230,32.8,0.0,94.8,0.0,1.5,2100.9,0.0,99
 201,-2.41702,-44.04998,S 2 25 1.27,O 44 2 59.93,Raposa,2109452,MA,64,14.3,1.3,40.6,0.6,0.1,0.7,7.7,100
 202,-12.23430,-52.70840,S 12 14 3.48,O 52 42 30.24,Querência,5107065,MT,17854,4905.9,84.8,10577.6,15.2,0.8,2273.5,81.0,99
 203,-0.74831,-47.02402,S 0 44 53.92,O 47 1 26.47,Quatipuru,1506112,PA,326,73.9,0.6,18.4,32.9,117.2,24.9,58.7,100
 204,-10.42056,-48.86192,S 10 25 14.02,O 48 51 42.91,Pugmil,1718451,TO,403,0.0,0.0,0,0.0,0.0,403.3,0.0,100
 205,-15.12711,-54.21448,S 15 7 37.60,O 54 12 52.13,Primavera do Leste,5107040,MT,5473,0.7,0.0,16.9,0.2,0.0,5455.2,0.0,99
 206,-11.90772,-61.30165,S 11 54 27.79,O 61 18 5.94,Primavera de Rondônia,1101476,RO,610,420.4,0.3,95.5,0.0,0.0,93.6,0.5,100
 207,-0.93652,-47.15277,S 0 56 11.47,O 47 9 9.97,Primavera,1506104,PA,261,173.9,1.1,0,0.1,83.2,9.3,8.0,105
 208,-2.59087,-45.34959,S 2 35 27.13,O 45 20 58.52,Presidente Sarney,2109270,MA,732,550.3,2.4,86.9,10.0,0.0,82.1,2.7,100
 209,-11.19374,-61.84743,S 11 11 37.46,O 61 50 50.75,Presidente Médici,1100254,RO,1773,1598.4,1.7,147.5,0.0,0.0,17.6,9.5,100
 210,-2.30799,-45.76410,S 2 18 28.76,O 45 45 50.76,Presidente Médici,2109239,MA,441,440.1,0.0,0.6,0.0,0.3,0.0,0.0,100
 211,-8.46487,-48.47690,S 8 27 53.53,O 48 28 36.84,Presidente Kennedy,1718402,TO,774,337.6,0.0,105.1,0.0,0.6,330.7,0.0,100
 212,-3.09801,-44.06306,S 3 5 52.84,O 44 3 47.02,Presidente Juscelino,2109205,MA,360,37.6,0.8,284.1,0.0,2.5,33.3,2.5,99
 213,-0.65847,-60.17004,S 0 39 30.49,O 60 10 12.14,Presidente Figueiredo,1303536,AM,25568,663.7,5.8,21393.0,83.0,5.4,1.1,3421.8,99
 214,-5.28901,-44.46201,S 5 17 20.44,O 44 27 43.24,Presidente Dutra,2109106,MA,805,713.0,1.7,91.8,0.0,0.0,0.1,0.1,99
 215,-1.91814,-53.45330,S 1 55 5.30,O 53 27 11.88,Prainha,1506005,PA,14785,1414.7,64.0,6836.4,2008.7,9.7,2964.4,1551.1,100
 216,-5.48850,-47.78580,S 5 29 18.60,O 47 47 8.88,Praia Norte,1718303,TO,291,213.9,1.0,35.8,2.5,0.0,29.5,9.3,100
 217,1.61009,-50.73654,N 1 36 36.32,O 50 44 11.54,Pracuúba,1600550,AP,4965,62.9,1.1,2479.4,1173.7,3.9,1176.0,69.1,100
 218,-15.80816,-54.25666,S 15 48 29.38,O 54 15 23.98,Poxoréo,5107008,MT,6922,1846.9,0.4,102.3,0.0,0.0,4972.8,0.0,100
 219,-8.45223,-72.76651,S 8 27 8.03,O 72 45 59.44,Porto Walter,1200393,AC,6661,149.6,1.1,6503.0,3.8,1.6,3.0,0.0,100
 220,-8.98448,-63.99115,S 8 59 4.13,O 63 59 28.14,Porto Velho,1100205,RO,34631,6908.5,362.9,26502.4,13.7,23.4,431.9,751.1,100
 221,-1.83139,-44.61413,S 1 49 53.00,O 44 36 50.87,Porto Rico do Maranhão,2109056,MA,211,117.9,0.0,79.7,3.4,0.0,0.5,9.5,100
 222,-10.54819,-48.54647,S 10 32 53.48,O 48 32 47.29,Porto Nacional,1718204,TO,4472,0.0,0.0,0,0.0,561.0,4441.5,31.6,112
 223,0.61343,-51.72370,N 0 36 48.35,O 51 43 25.32,Porto Grande,1600535,AP,4407,308.1,5.4,1992.1,1426.2,21.4,639.8,19.4,100
 224,-6.38380,-47.26834,S 6 23 1.68,O 47 16 6.02,Porto Franco,2109007,MA,1427,554.9,0.3,95.7,0.0,0.1,760.7,15.6,100
 225,-15.53200,-57.21942,S 15 31 55.20,O 57 13 9.91,Porto Estrela,5106851,MT,2068,379.1,1.8,226.5,0.0,0.0,1462.4,0.0,100
